timestamp(ms),acc.x,acc.y,acc.z
1040,0.138900757,-0.816268921,0.142196655
1060,0.155136108,-0.835723877,0.184249878
1080,0.161880493,-0.797927856,0.228027344
1100,0.178482056,-0.809158325,0.32824707
1120,0.193328857,-0.810089111,0.459152222
1140,0.229888916,-0.875701904,0.621871948
1160,0.395263672,-1.038909912,0.688354492
1180,0.455337524,-1.088562012,0.630615234
1200,0.445373535,-1.213531494,0.504974365
1220,0.426773071,-1.254821777,0.618484497
1240,0.364883423,-1.057876587,0.773895264
1260,0.124557495,-0.966445923,0.627380371
1280,0.149459839,-1.044387817,0.332778931
1300,0.230010986,-1.057327271,0.008102417
1320,0.296569824,-1.145309448,-0.31628418
1340,0.330749512,-1.129318237,-0.264663696
1360,0.282241821,-1.247802734,0.337814331
1380,0.233642578,-1.011688232,0.661453247
1400,0.195541382,-0.804214478,-0.244338989
1420,0.017883301,-0.806930542,-0.07081604
1440,0.221618652,-0.987945557,-0.151855469
1460,0.12197876,-0.918746948,-0.478439331
1480,0.278945923,-1.009506226,-0.425582886
1500,0.373596191,-1.081176758,-0.180938721
1520,0.318511963,-1.046142578,0.074066162
1540,0.158126831,-1.009155273,0.176010132
1560,0.047332764,-0.939712524,0.242111206
1580,0.076293945,-0.814117432,0.118133545
1600,0.175796509,-0.783630371,-0.010894775
1620,0.227249146,-0.821746826,-0.096359253
1640,0.260314941,-0.829666138,-0.136245728
1660,0.333999634,-0.835968018,-0.138458252
1680,0.364547729,-0.866577148,-0.092651367
1700,0.409713745,-0.872665405,0.008911133
1720,0.459289551,-0.946411133,0.072677612
1740,0.37399292,-0.986404419,0.153015137
1760,0.324539185,-0.939102173,0.199417114
1780,0.288864136,-0.894271851,0.152954102
1800,0.276000977,-0.922775269,0.057922363
1820,0.33164978,-0.844085693,-0.022567749
1840,0.335067749,-0.870986938,-0.058013916
1860,0.258911133,-0.919082642,-0.047302246
1880,0.332000732,-0.982803345,-0.090545654
1900,0.36088562,-1.025894165,-0.163772583
1920,0.420471191,-1.058303833,-0.152694702
1940,0.390319824,-1.214981079,-0.094055176
1960,0.388275146,-1.273330688,-0.049407959
1980,0.378555298,-1.292053223,0.064865112
2000,0.405166626,-1.303375244,0.295883179
2020,0.473861694,-1.302597046,0.181869507
2040,0.41758728,-1.33807373,-0.045669556
2060,0.35635376,-1.263839722,-0.044921875
2080,0.25680542,-1.125747681,0.000823975
2100,0.216537476,-1.002029419,-0.000869751
2120,0.162017822,-0.94960022,-0.0519104
2140,0.110290527,-0.992507935,-0.112976074
2160,0.10559082,-1.112426758,-0.091674805
2180,0.178543091,-1.155899048,0.123962402
2200,0.315963745,-1.08190918,0.274307251
2220,0.377182007,-1.010803223,0.190826416
2240,0.383071899,-0.888595581,0.109741211
2260,0.321624756,-0.78125,0.05519104
2280,0.269454956,-0.674972534,0.029891968
2300,0.178726196,-0.598632813,0.029647827
2320,0.126815796,-0.554977417,0.07232666
2340,0.120223999,-0.572662354,0.095535278
2360,0.096298218,-0.598815918,0.069107056
2380,0.117095947,-0.655975342,0.023544312
2400,0.099395752,-0.715255737,-0.013320923
2420,0.094345093,-0.735244751,0.01574707
2440,0.105072021,-0.781478882,0.088088989
2460,0.122161865,-0.799453735,0.210296631
2480,0.144012451,-0.803497314,0.434417725
2500,0.147506714,-0.883468628,0.688095093
2520,0.197570801,-0.950515747,1.014968872
2540,0.526062012,-1.169616699,1.218185425
2560,0.584899902,-1.2684021,0.928421021
2580,0.596405029,-1.340270996,0.515533447
2600,0.565063477,-1.249435425,0.571243286
2620,0.311340332,-0.945587158,0.761154175
2640,0.125213623,-0.979187012,0.600784302
2660,0.095275879,-0.974609375,0.35534668
2680,0.146728516,-1.056350708,-0.054260254
2700,0.265213013,-1.138061523,-0.263137817
2720,0.303695679,-1.046615601,0.231155396
2740,0.346221924,-0.889251709,0.028762817
2760,0.173629761,-0.848190308,-0.108200073
2780,0.18460083,-0.655029297,-0.169082642
2800,0.237503052,-0.848266602,-0.600494385
2820,0.192565918,-1.047225952,-0.719589233
2840,0.228027344,-1.08757019,-0.128341675
2860,0.317489624,-1.098190308,0.182327271
2880,0.314163208,-1.100326538,0.134155273
2900,0.190795898,-0.957687378,0.497711182
2920,0.167755127,-0.88420105,0.145568848
2940,0.193130493,-0.681793213,0.039855957
2960,0.217254639,-0.739868164,-0.063095093
2980,0.237182617,-0.771560669,-0.087387085
3000,0.303985596,-0.850646973,-0.126037598
3020,0.381790161,-0.859710693,-0.104125977
3040,0.457489014,-0.845397949,-0.007141113
3060,0.469284058,-0.849075317,0.130691528
3080,0.394638062,-0.913589478,0.161270142
3100,0.352416992,-0.952468872,0.167770386
3120,0.331268311,-0.973892212,0.037597656
3140,0.312744141,-0.972183228,-0.079101563
3160,0.283874512,-0.917373657,-0.110275269
3180,0.282592773,-0.917144775,-0.066879272
3200,0.359115601,-0.988830566,-0.068023682
3220,0.423019409,-1.036407471,-0.058792114
3240,0.486480713,-1.142745972,-0.032241821
3260,0.499465942,-1.251022339,-0.019760132
3280,0.492980957,-1.298782349,0.025238037
3300,0.532958984,-1.287902832,0.119232178
3320,0.566864014,-1.277145386,0.211517334
3340,0.515914917,-1.243423462,0.150695801
3360,0.413391113,-1.339523315,-0.097167969
3380,0.311660767,-1.143356323,-0.059509277
3400,0.242660522,-0.985733032,-0.03805542
3420,0.167373657,-1.01210022,-0.081069946
3440,0.063964844,-1.138137817,-0.032226563
3460,0.008880615,-1.254669189,0.150131226
3480,0.152694702,-1.225921631,0.249710083
3500,0.317871094,-1.103759766,0.271026611
3520,0.382965088,-0.932418823,0.184814453
3540,0.398147583,-0.767379761,0.095809937
3560,0.367919922,-0.608352661,0.024368286
3580,0.274200439,-0.550720215,0.00050354
3600,0.170639038,-0.515136719,0.048843384
3620,0.102111816,-0.487640381,0.076644897
3640,0.057113647,-0.48828125,0.099945068
3660,0.047027588,-0.524673462,0.089981079
3680,0.065032959,-0.60458374,0.033905029
3700,0.081710815,-0.693740845,0.007232666
3720,0.136581421,-0.803909302,0.059524536
3740,0.195159912,-0.835189819,0.184844971
3760,0.252456665,-0.913131714,0.311813354
3780,0.275924683,-0.937316895,0.476364136
3800,0.272872925,-0.898956299,0.728012085
